Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","2010","2010","t","326","A","Official value"
"TM","Detailed trade matrix","250","France","004","Afghanistan","5910","Export quantity","0111","Wheat","2011","2011","t","47","A","Official value"
"TM","Detailed trade matrix","250","France","764","Thailand","5910","Export quantity","0113","Rice","2018","2018","t","0.1","A","Official value"
"TM","Detailed trade matrix","250","France","764","Thailand","5910","Export quantity","0113","Rice","2020","2020","t","0","A","Official value"
"TM","Detailed trade matrix","250","France","764","Thailand","5910","Export quantity","0111","Wheat","1988","1988","t","6590","A","Official value"
"TM","Detailed trade matrix","250","France","764","Thailand","5910","Export quantity","0111","Wheat","2000","2000","t","89","A","Official value"
"TM","Detailed trade matrix","250","France","764","Thailand","5910","Export quantity","0111","Wheat","2005","2005","t","22","A","Official value"
"TM","Detailed trade matrix","250","France","764","Thailand","5910","Export quantity","0111","Wheat","2010","2010","t","66000","A","Official value"
"TM","Detailed trade matrix","250","France","764","Thailand","5910","Export quantity","0111","Wheat","2014","2014","t","92750","A","Official value"
"TM","Detailed trade matrix","250","France","764","Thailand","5910","Export quantity","0111","Wheat","2015","2015","t","520688.5","A","Official value"
"TM","Detailed trade matrix","250","France","764","Thailand","5910","Export quantity","0111","Wheat","2016","2016","t","335145","A","Official value"
"TM","Detailed trade matrix","250","France","764","Thailand","5910","Export quantity","0111","Wheat","2019","2019","t","995.17","A","Official value"
"TM","Detailed trade matrix","250","France","764","Thailand","5910","Export quantity","0111","Wheat","2024","2024","t","203499.56","A","Official value"
"TM","Detailed trade matrix","276","Germany","004","Afghanistan","5910","Export quantity","0111","Wheat","1996","1996","t","14793","A","Official value"
"TM","Detailed trade matrix","276","Germany","764","Thailand","5910","Export quantity","0111","Wheat","2016","2016","t","627.9","A","Official value"
"TM","Detailed trade matrix","276","Germany","764","Thailand","5910","Export quantity","0111","Wheat","2019","2019","t","7.53","A","Official value"
"TM","Detailed trade matrix","276","Germany","764","Thailand","5910","Export quantity","0111","Wheat","2020","2020","t","1.5","A","Official value"
"TM","Detailed trade matrix","276","Germany","764","Thailand","5910","Export quantity","0111","Wheat","2021","2021","t","4.5","A","Official value"
"TM","Detailed trade matrix","276","Germany","764","Thailand","5910","Export quantity","0111","Wheat","2024","2024","t","66002","A","Official value"
"TM","Detailed trade matrix","348","Hungary","004","Afghanistan","5910","Export quantity","0111","Wheat","1992","1992","t","12971","A","Official value"
"TM","Detailed trade matrix","348","Hungary","764","Thailand","5910","Export quantity","0111","Wheat","2024","2024","t","2952.28","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0113","Rice","2009","2009","t","1","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0113","Rice","2022","2022","t","2","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0113","Rice","2023","2023","t","0.86","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","1990","1990","t","1300","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","1995","1995","t","40","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2012","2012","t","45437","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2013","2013","t","127637","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2014","2014","t","30050","A","Official value"
