Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1990","1990","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1991","1991","t","22","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1991","1991","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1992","1992","t","0","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1992","1992","t","300","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1993","1993","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1993","1993","t","0","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1994","1994","t","0","E","Estimated value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1994","1994","t","26","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1995","1995","t","0","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1995","1995","t","0","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1996","1996","t","0","E","Estimated value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1996","1996","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1997","1997","t","0","E","Estimated value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1997","1997","t","0","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1998","1998","t","1","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1998","1998","t","12","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","1999","1999","t","250","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","1999","1999","t","0","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2000","2000","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2000","2000","t","15","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2001","2001","t","1","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2001","2001","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2002","2002","t","0","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2002","2002","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2003","2003","t","0","E","Estimated value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2003","2003","t","1","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2004","2004","t","3","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2004","2004","t","2","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2005","2005","t","29","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2005","2005","t","2","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2006","2006","t","78","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2006","2006","t","7","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2007","2007","t","83","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2007","2007","t","5706","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2008","2008","t","307","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2008","2008","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2009","2009","t","306","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2009","2009","t","3","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2010","2010","t","220","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2010","2010","t","11","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2011","2011","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2011","2011","t","1","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2012","2012","t","12","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2012","2012","t","1","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2013","2013","t","9","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2013","2013","t","10","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2014","2014","t","0.45","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2014","2014","t","7.12","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2015","2015","t","2.88","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2015","2015","t","2.27","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2016","2016","t","0.09","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2016","2016","t","9.9","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2017","2017","t","0.09","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2017","2017","t","22.93","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2018","2018","t","11.8","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2019","2019","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2019","2019","t","0.01","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2020","2020","t","0.23","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2020","2020","t","0.06","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2021","2021","t","0.06","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2022","2022","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2022","2022","t","0.01","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2023","2023","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2023","2023","t","0.01","A","Official value",""
